,patient,question,l_prompt,n_passages
258,patient_05,6,3399,10
259,patient_05,6,6842,25
260,patient_05,6,31761,10000
261,patient_05,7,3461,10
262,patient_05,7,7055,25
263,patient_05,7,43032,10000
264,patient_05,8,3434,10
265,patient_05,8,6808,25
266,patient_05,8,40897,10000
267,patient_05,9,4820,10
268,patient_05,9,10061,25
269,patient_05,9,24919,10000
270,patient_05,10,4266,10
271,patient_05,10,7879,25
272,patient_05,10,29429,10000
273,patient_05,11,3399,10
274,patient_05,11,6710,25
275,patient_05,11,12880,10000
276,patient_05,12,5012,10
277,patient_05,12,8733,25
278,patient_05,12,14605,10000
279,patient_05,13,8756,10
280,patient_05,13,13962,25
281,patient_05,13,19678,10000
282,patient_05,14,3812,10
283,patient_05,14,8069,25
284,patient_05,14,39810,10000
285,patient_05,15,3122,10
286,patient_05,15,7939,25
287,patient_05,15,30247,10000
288,patient_05,16,3164,10
289,patient_05,16,4250,25
290,patient_05,16,4250,10000
291,patient_05,17,3742,10
292,patient_05,17,7360,25
293,patient_05,17,33305,10000
294,patient_05,18,3717,10
295,patient_05,18,8156,25
296,patient_05,18,28901,10000
297,patient_05,19,4939,10
298,patient_05,19,10269,25
299,patient_05,19,44858,10000
300,patient_06,0,2924,10
301,patient_06,0,6435,25
302,patient_06,0,37344,10000
303,patient_06,1,4912,10
304,patient_06,1,8593,25
305,patient_06,1,28755,10000
306,patient_06,2,962,10
307,patient_06,2,962,25
308,patient_06,2,962,10000
309,patient_06,3,2933,10
310,patient_06,3,6791,25
311,patient_06,3,42107,10000
312,patient_06,4,3621,10
313,patient_06,4,7432,25
314,patient_06,4,25506,10000
315,patient_06,5,3102,10
316,patient_06,5,3102,25
317,patient_06,5,3102,10000
318,patient_06,6,4524,10
319,patient_06,6,8433,25
320,patient_06,6,30025,10000
321,patient_06,7,2988,10
322,patient_06,7,6193,25
323,patient_06,7,12027,10000
324,patient_06,8,4068,10
325,patient_06,8,7945,25
326,patient_06,8,50083,10000
327,patient_06,9,3014,10
328,patient_06,9,7778,25
329,patient_06,9,34039,10000
330,patient_06,10,4923,10
331,patient_06,10,8750,25
332,patient_06,10,27424,10000
333,patient_06,11,6039,10
334,patient_06,11,13902,25
335,patient_06,11,34480,10000
336,patient_06,12,3512,10
337,patient_06,12,8120,25
338,patient_06,12,27424,10000
339,patient_06,13,3753,10
340,patient_06,13,8267,25
341,patient_06,13,23897,10000
342,patient_06,14,3081,10
343,patient_06,14,6281,25
344,patient_06,14,45281,10000
345,patient_06,15,2951,10
346,patient_06,15,6146,25
347,patient_06,15,22647,10000
348,patient_06,16,3222,10
349,patient_06,16,8498,25
350,patient_06,16,11258,10000
351,patient_06,17,2942,10
352,patient_06,17,6167,25
353,patient_06,17,22457,10000
354,patient_06,18,5289,10
355,patient_06,18,7360,25
356,patient_06,18,7360,10000
357,patient_06,19,3823,10
358,patient_06,19,7773,25
359,patient_06,19,14459,10000
360,patient_07,0,3667,10
361,patient_07,0,7542,25
362,patient_07,0,25158,10000
363,patient_07,1,2560,10
364,patient_07,1,6325,25
365,patient_07,1,8180,10000
366,patient_07,2,3059,10
367,patient_07,2,8278,25
368,patient_07,2,25001,10000
369,patient_07,3,3522,10
370,patient_07,3,6706,25
371,patient_07,3,23128,10000
372,patient_07,4,3275,10
373,patient_07,4,8826,25
374,patient_07,4,21799,10000
375,patient_07,5,6357,10
376,patient_07,5,11546,25
377,patient_07,5,29189,10000
378,patient_07,6,6173,10
379,patient_07,6,14129,25
380,patient_07,6,14129,10000
381,patient_07,7,4382,10
382,patient_07,7,7713,25
383,patient_07,7,24437,10000
384,patient_07,8,3279,10
385,patient_07,8,6619,25
386,patient_07,8,39682,10000
387,patient_07,9,7038,10
388,patient_07,9,10645,25
389,patient_07,9,14339,10000
390,patient_07,10,3221,10
391,patient_07,10,9156,25
392,patient_07,10,30088,10000
393,patient_07,11,5405,10
394,patient_07,11,10759,25
395,patient_07,11,12219,10000
396,patient_07,12,3974,10
397,patient_07,12,9265,25
398,patient_07,12,28217,10000
399,patient_07,13,3070,10
400,patient_07,13,6846,25
401,patient_07,13,8753,10000
402,patient_07,14,3479,10
403,patient_07,14,6894,25
404,patient_07,14,44555,10000
405,patient_07,15,1510,10
406,patient_07,15,1510,25
407,patient_07,15,1510,10000
408,patient_07,16,3159,10
409,patient_07,16,6775,25
410,patient_07,16,9329,10000
411,patient_07,17,3022,10
412,patient_07,17,12156,25
413,patient_07,17,33948,10000
414,patient_07,18,2791,10
415,patient_07,18,6705,25
416,patient_07,18,40179,10000
417,patient_07,19,4061,10
418,patient_07,19,7817,25
419,patient_07,19,21126,10000
420,patient_08,0,3210,10
421,patient_08,0,8346,25
422,patient_08,0,9750,10000
423,patient_08,1,2994,10
424,patient_08,1,6729,25
425,patient_08,1,6729,10000
426,patient_08,2,5404,10
427,patient_08,2,13104,25
428,patient_08,2,55696,10000
429,patient_08,3,3155,10
430,patient_08,3,6960,25
431,patient_08,3,13821,10000
432,patient_08,4,2738,10
433,patient_08,4,2738,25
434,patient_08,4,2738,10000
435,patient_08,5,2886,10
436,patient_08,5,8557,25
437,patient_08,5,9215,10000
438,patient_08,6,2956,10
439,patient_08,6,8099,25
440,patient_08,6,42585,10000
441,patient_08,7,2698,10
442,patient_08,7,5875,25
443,patient_08,7,16910,10000
444,patient_08,8,2956,10
445,patient_08,8,7014,25
446,patient_08,8,28974,10000
447,patient_08,9,3826,10
448,patient_08,9,8282,25
449,patient_08,9,57792,10000
450,patient_08,10,4292,10
451,patient_08,10,9214,25
452,patient_08,10,11692,10000
453,patient_08,11,2933,10
454,patient_08,11,6823,25
455,patient_08,11,25627,10000
456,patient_08,12,3482,10
457,patient_08,12,7570,25
458,patient_08,12,42852,10000
459,patient_08,13,3047,10
460,patient_08,13,7321,25
461,patient_08,13,34732,10000
462,patient_08,14,3430,10
463,patient_08,14,7609,25
464,patient_08,14,32147,10000
465,patient_08,15,5101,10
466,patient_08,15,8294,25
467,patient_08,15,40050,10000
468,patient_08,16,3172,10
469,patient_08,16,7368,25
470,patient_08,16,27573,10000
471,patient_08,17,3321,10
472,patient_08,17,6807,25
473,patient_08,17,9991,10000
474,patient_08,18,4058,10
475,patient_08,18,9454,25
476,patient_08,18,26043,10000
477,patient_08,19,4266,10
478,patient_08,19,7528,25
479,patient_08,19,41411,10000
480,patient_09,0,3010,10
481,patient_09,0,6232,25
482,patient_09,0,30676,10000
483,patient_09,1,3292,10
484,patient_09,1,6946,25
485,patient_09,1,18121,10000
486,patient_09,2,3058,10
487,patient_09,2,6785,25
488,patient_09,2,30210,10000
489,patient_09,3,2393,10
490,patient_09,3,2393,25
491,patient_09,3,2393,10000
492,patient_09,4,4374,10
493,patient_09,4,8786,25
494,patient_09,4,43295,10000
495,patient_09,5,5375,10
496,patient_09,5,8837,25
497,patient_09,5,13141,10000
498,patient_09,6,4136,10
499,patient_09,6,8637,25
500,patient_09,6,9819,10000
501,patient_09,7,3075,10
502,patient_09,7,6543,25
503,patient_09,7,45794,10000
504,patient_09,8,2882,10
505,patient_09,8,6718,25
506,patient_09,8,39083,10000
507,patient_09,9,3099,10
508,patient_09,9,3746,25
509,patient_09,9,3746,10000
510,patient_09,10,4464,10
511,patient_09,10,9036,25
512,patient_09,10,11214,10000
513,patient_09,11,5039,10
514,patient_09,11,16134,25
515,patient_09,11,36137,10000
516,patient_09,12,3183,10
517,patient_09,12,6439,25
518,patient_09,12,31387,10000
519,patient_09,13,3221,10
520,patient_09,13,6683,25
521,patient_09,13,6683,10000
522,patient_09,14,2722,10
523,patient_09,14,6790,25
524,patient_09,14,36690,10000
525,patient_09,15,4815,10
526,patient_09,15,9140,25
527,patient_09,15,53064,10000
528,patient_09,16,3005,10
529,patient_09,16,6575,25
530,patient_09,16,54747,10000
531,patient_09,17,3519,10
532,patient_09,17,7552,25
533,patient_09,17,19197,10000
534,patient_09,18,3927,10
535,patient_09,18,7349,25
536,patient_09,18,26213,10000
537,patient_09,19,4247,10
538,patient_09,19,7877,25
539,patient_09,19,20788,10000
540,patient_10,0,4163,10
541,patient_10,0,7999,25
542,patient_10,0,23183,10000
543,patient_10,1,4142,10
544,patient_10,1,12644,25
545,patient_10,1,52089,10000
546,patient_10,2,4311,10
547,patient_10,2,7850,25
548,patient_10,2,10208,10000
549,patient_10,3,3786,10
550,patient_10,3,8618,25
551,patient_10,3,17569,10000
552,patient_10,4,3505,10
553,patient_10,4,7567,25
554,patient_10,4,23434,10000
555,patient_10,5,3727,10
556,patient_10,5,6802,25
557,patient_10,5,12098,10000
558,patient_10,6,3248,10
559,patient_10,6,7354,25
560,patient_10,6,23195,10000
561,patient_10,7,3373,10
562,patient_10,7,7364,25
563,patient_10,7,17465,10000
564,patient_10,8,2852,10
565,patient_10,8,5973,25
566,patient_10,8,17922,10000
567,patient_10,9,3438,10
568,patient_10,9,7296,25
569,patient_10,9,47366,10000
570,patient_10,10,2833,10
571,patient_10,10,8604,25
572,patient_10,10,17693,10000
573,patient_10,11,3186,10
574,patient_10,11,8327,25
575,patient_10,11,20404,10000
576,patient_10,12,4048,10
577,patient_10,12,7341,25
578,patient_10,12,31456,10000
579,patient_10,13,7752,10
580,patient_10,13,12332,25
581,patient_10,13,12332,10000
582,patient_10,14,3754,10
583,patient_10,14,13897,25
584,patient_10,14,32573,10000
585,patient_10,15,4677,10
586,patient_10,15,8507,25
587,patient_10,15,25207,10000
588,patient_10,16,3189,10
589,patient_10,16,6615,25
590,patient_10,16,32548,10000
591,patient_10,17,3099,10
592,patient_10,17,6398,25
593,patient_10,17,9461,10000
594,patient_10,18,5361,10
595,patient_10,18,9458,25
596,patient_10,18,43044,10000
597,patient_10,19,4602,10
598,patient_10,19,8076,25
599,patient_10,19,35307,10000
600,patient_11,0,5644,10
601,patient_11,0,9246,25
602,patient_11,0,9654,10000
603,patient_11,1,5192,10
604,patient_11,1,10281,25
605,patient_11,1,50119,10000
606,patient_11,2,3155,10
607,patient_11,2,7309,25
608,patient_11,2,28663,10000
609,patient_11,3,3514,10
610,patient_11,3,9401,25
611,patient_11,3,22114,10000
612,patient_11,4,3441,10
613,patient_11,4,7018,25
614,patient_11,4,13552,10000
615,patient_11,5,4380,10
616,patient_11,5,8120,25
617,patient_11,5,17921,10000
618,patient_11,6,3831,10
619,patient_11,6,5929,25
620,patient_11,6,5929,10000
621,patient_11,7,3026,10
622,patient_11,7,7517,25
623,patient_11,7,11047,10000
624,patient_11,8,3220,10
625,patient_11,8,9775,25
626,patient_11,8,9775,10000
627,patient_11,9,5914,10
628,patient_11,9,11616,25
629,patient_11,9,21690,10000
630,patient_11,10,8158,10
631,patient_11,10,11744,25
632,patient_11,10,31460,10000
633,patient_11,11,2888,10
634,patient_11,11,6325,25
635,patient_11,11,52270,10000
636,patient_11,12,2848,10
637,patient_11,12,6465,25
638,patient_11,12,40740,10000
639,patient_11,13,3572,10
640,patient_11,13,9093,25
641,patient_11,13,54684,10000
642,patient_11,14,3048,10
643,patient_11,14,6623,25
644,patient_11,14,34658,10000
645,patient_11,15,5083,10
646,patient_11,15,5083,25
647,patient_11,15,5083,10000
648,patient_11,16,1744,10
649,patient_11,16,1744,25
650,patient_11,16,1744,10000
651,patient_11,17,3008,10
652,patient_11,17,6380,25
653,patient_11,17,14332,10000
654,patient_11,18,6276,10
655,patient_11,18,9667,25
656,patient_11,18,49012,10000
657,patient_11,19,4231,10
658,patient_11,19,4231,25
659,patient_11,19,4231,10000
660,patient_12,0,3906,10
661,patient_12,0,8269,25
662,patient_12,0,31074,10000
663,patient_12,1,8353,10
664,patient_12,1,8353,25
665,patient_12,1,8353,10000
666,patient_12,2,11296,10
667,patient_12,2,17240,25
668,patient_12,2,49515,10000
669,patient_12,3,5365,10
670,patient_12,3,10861,25
671,patient_12,3,10861,10000
672,patient_12,4,5264,10
673,patient_12,4,8529,25
674,patient_12,4,37608,10000
675,patient_12,5,3228,10
676,patient_12,5,14910,25
677,patient_12,5,43870,10000
678,patient_12,6,4237,10
679,patient_12,6,9660,25
680,patient_12,6,13403,10000
681,patient_12,7,5110,10
682,patient_12,7,8619,25
683,patient_12,7,33638,10000
684,patient_12,8,3582,10
685,patient_12,8,10244,25
686,patient_12,8,26610,10000
687,patient_12,9,6742,10
688,patient_12,9,10208,25
689,patient_12,9,23830,10000
690,patient_12,10,6716,10
691,patient_12,10,16174,25
692,patient_12,10,46851,10000
693,patient_12,11,5730,10
694,patient_12,11,11910,25
695,patient_12,11,40048,10000
696,patient_12,12,4674,10
697,patient_12,12,7935,25
698,patient_12,12,34549,10000
699,patient_12,13,7880,10
700,patient_12,13,11018,25
701,patient_12,13,11018,10000
702,patient_12,14,4649,10
703,patient_12,14,8379,25
704,patient_12,14,21263,10000
705,patient_12,15,6932,10
706,patient_12,15,10737,25
707,patient_12,15,48981,10000
708,patient_12,16,6047,10
709,patient_12,16,11508,25
710,patient_12,16,13961,10000
711,patient_12,17,12729,10
712,patient_12,17,17334,25
713,patient_12,17,38556,10000
714,patient_12,18,3521,10
715,patient_12,18,8308,25
716,patient_12,18,15787,10000
717,patient_12,19,6940,10
718,patient_12,19,11247,25
719,patient_12,19,61772,10000
720,patient_13,0,5450,10
721,patient_13,0,13714,25
722,patient_13,0,37323,10000
723,patient_13,1,3239,10
724,patient_13,1,6862,25
725,patient_13,1,6862,10000
726,patient_13,2,3836,10
727,patient_13,2,4299,25
728,patient_13,2,4299,10000
729,patient_13,3,4094,10
730,patient_13,3,8091,25
731,patient_13,3,19162,10000
732,patient_13,4,4483,10
733,patient_13,4,8984,25
734,patient_13,4,55332,10000
735,patient_13,5,2903,10
736,patient_13,5,6452,25
737,patient_13,5,12635,10000
738,patient_13,6,3786,10
739,patient_13,6,8516,25
740,patient_13,6,53330,10000
741,patient_13,7,3444,10
742,patient_13,7,7155,25
743,patient_13,7,14403,10000
744,patient_13,8,3934,10
745,patient_13,8,8306,25
746,patient_13,8,8917,10000
747,patient_13,9,3605,10
748,patient_13,9,7968,25
749,patient_13,9,29483,10000
750,patient_13,10,3605,10
751,patient_13,10,8489,25
752,patient_13,10,49000,10000
753,patient_13,11,3092,10
754,patient_13,11,6777,25
755,patient_13,11,50880,10000
756,patient_13,12,3045,10
757,patient_13,12,3045,25
758,patient_13,12,3045,10000
759,patient_13,13,3379,10
760,patient_13,13,7953,25
761,patient_13,13,44122,10000
762,patient_13,14,3959,10
763,patient_13,14,7980,25
764,patient_13,14,9106,10000
765,patient_13,15,4290,10
766,patient_13,15,13101,25
767,patient_13,15,44359,10000
768,patient_13,16,4692,10
769,patient_13,16,9901,25
770,patient_13,16,62306,10000
771,patient_13,17,4994,10
772,patient_13,17,8786,25
773,patient_13,17,49251,10000
774,patient_13,18,8388,10
775,patient_13,18,13307,25
776,patient_13,18,26011,10000
777,patient_13,19,6436,10
778,patient_13,19,8370,25
779,patient_13,19,8370,10000
780,patient_14,0,3574,10
781,patient_14,0,7653,25
782,patient_14,0,17791,10000
783,patient_14,1,3339,10
784,patient_14,1,7554,25
785,patient_14,1,18927,10000
786,patient_14,2,5070,10
787,patient_14,2,9045,25
788,patient_14,2,16854,10000
789,patient_14,3,2918,10
790,patient_14,3,5972,25
791,patient_14,3,37854,10000
792,patient_14,4,6265,10
793,patient_14,4,10098,25
794,patient_14,4,10098,10000
795,patient_14,5,4328,10
796,patient_14,5,9156,25
797,patient_14,5,54014,10000
798,patient_14,6,3287,10
799,patient_14,6,8477,25
800,patient_14,6,27549,10000
801,patient_14,7,4122,10
802,patient_14,7,9289,25
803,patient_14,7,13665,10000
804,patient_14,8,3302,10
805,patient_14,8,6789,25
806,patient_14,8,6789,10000
807,patient_14,9,2779,10
808,patient_14,9,6647,25
809,patient_14,9,35042,10000
810,patient_14,10,10383,10
811,patient_14,10,15202,25
812,patient_14,10,15569,10000
813,patient_14,11,3949,10
814,patient_14,11,7767,25
815,patient_14,11,17746,10000
816,patient_14,12,3612,10
817,patient_14,12,7676,25
818,patient_14,12,37366,10000
819,patient_14,13,3674,10
820,patient_14,13,7132,25
821,patient_14,13,21186,10000
822,patient_14,14,2091,10
823,patient_14,14,2091,25
824,patient_14,14,2091,10000
825,patient_14,15,6308,10
826,patient_14,15,11106,25
827,patient_14,15,23543,10000
828,patient_14,16,7497,10
829,patient_14,16,12400,25
830,patient_14,16,13863,10000
831,patient_14,17,3139,10
832,patient_14,17,6776,25
833,patient_14,17,19561,10000
834,patient_14,18,3716,10
835,patient_14,18,7745,25
836,patient_14,18,16719,10000
837,patient_14,19,5299,10
838,patient_14,19,11941,25
839,patient_14,19,38724,10000
840,patient_15,0,6151,10
841,patient_15,0,13712,25
842,patient_15,0,57061,10000
843,patient_15,1,4551,10
844,patient_15,1,7796,25
845,patient_15,1,11785,10000
846,patient_15,2,3418,10
847,patient_15,2,7841,25
848,patient_15,2,53045,10000
849,patient_15,3,2782,10
850,patient_15,3,7467,25
851,patient_15,3,17634,10000
852,patient_15,4,4243,10
853,patient_15,4,7786,25
854,patient_15,4,24780,10000
855,patient_15,5,3652,10
856,patient_15,5,6932,25
857,patient_15,5,46622,10000
858,patient_15,6,3918,10
859,patient_15,6,7271,25
860,patient_15,6,18669,10000
861,patient_15,7,3055,10
862,patient_15,7,6377,25
863,patient_15,7,30255,10000
864,patient_15,8,3125,10
865,patient_15,8,11636,25
866,patient_15,8,39684,10000
867,patient_15,9,3826,10
868,patient_15,9,9179,25
869,patient_15,9,62285,10000
870,patient_15,10,2895,10
871,patient_15,10,6397,25
872,patient_15,10,9536,10000
873,patient_15,11,5003,10
874,patient_15,11,9538,25
875,patient_15,11,19808,10000
876,patient_15,12,4157,10
877,patient_15,12,7744,25
878,patient_15,12,12626,10000
879,patient_15,13,2854,10
880,patient_15,13,6331,25
881,patient_15,13,22971,10000
882,patient_15,14,7557,10
883,patient_15,14,10773,25
884,patient_15,14,10773,10000
885,patient_15,15,5244,10
886,patient_15,15,9616,25
887,patient_15,15,45084,10000
888,patient_15,16,2876,10
889,patient_15,16,7199,25
890,patient_15,16,53301,10000
891,patient_15,17,3876,10
892,patient_15,17,10473,25
893,patient_15,17,29553,10000
894,patient_15,18,11737,10
895,patient_15,18,18894,25
896,patient_15,18,31920,10000
897,patient_15,19,4842,10
898,patient_15,19,5874,25
899,patient_15,19,5874,10000
900,patient_16,0,5010,10
901,patient_16,0,8920,25
902,patient_16,0,52185,10000
903,patient_16,1,4417,10
904,patient_16,1,9821,25
905,patient_16,1,36277,10000
906,patient_16,2,3176,10
907,patient_16,2,6343,25
908,patient_16,2,6343,10000
909,patient_16,3,2251,10
910,patient_16,3,2251,25
911,patient_16,3,2251,10000
912,patient_16,4,3442,10
913,patient_16,4,8069,25
914,patient_16,4,21046,10000
915,patient_16,5,956,10
916,patient_16,5,956,25
917,patient_16,5,956,10000
918,patient_16,6,6427,10
919,patient_16,6,12052,25
920,patient_16,6,36279,10000
921,patient_16,7,5994,10
922,patient_16,7,11697,25
923,patient_16,7,15236,10000
924,patient_16,8,2963,10
925,patient_16,8,6830,25
926,patient_16,8,30271,10000
927,patient_16,9,2976,10
928,patient_16,9,7676,25
929,patient_16,9,14105,10000
930,patient_16,10,3779,10
931,patient_16,10,8060,25
932,patient_16,10,11089,10000
933,patient_16,11,5437,10
934,patient_16,11,15490,25
935,patient_16,11,57295,10000
936,patient_16,12,5678,10
937,patient_16,12,8749,25
938,patient_16,12,42166,10000
939,patient_16,13,3018,10
940,patient_16,13,7346,25
941,patient_16,13,26608,10000
942,patient_16,14,4497,10
943,patient_16,14,8426,25
944,patient_16,14,50042,10000
945,patient_16,15,7778,10
946,patient_16,15,17101,25
947,patient_16,15,50374,10000
948,patient_16,16,3415,10
949,patient_16,16,6444,25
950,patient_16,16,41214,10000
951,patient_16,17,5167,10
952,patient_16,17,10162,25
953,patient_16,17,36087,10000
954,patient_16,18,4560,10
955,patient_16,18,9870,25
956,patient_16,18,37255,10000
957,patient_16,19,5028,10
958,patient_16,19,7906,25
959,patient_16,19,7906,10000
960,patient_17,0,3861,10
961,patient_17,0,4393,25
962,patient_17,0,4393,10000
963,patient_17,1,5141,10
964,patient_17,1,11988,25
965,patient_17,1,18790,10000
966,patient_17,2,4303,10
967,patient_17,2,8517,25
968,patient_17,2,11860,10000
969,patient_17,3,3845,10
970,patient_17,3,8409,25
971,patient_17,3,37626,10000
972,patient_17,4,6524,10
973,patient_17,4,11437,25
