,patient,question,l_prompt,n_passages
152,patient_03,10,9949,10000
153,patient_03,11,4551,10
154,patient_03,11,8886,25
155,patient_03,11,11693,10000
156,patient_03,12,2835,10
157,patient_03,12,5865,25
158,patient_03,12,6044,10000
159,patient_03,13,4046,10
160,patient_03,13,7896,25
161,patient_03,13,7896,10000
162,patient_03,14,3534,10
163,patient_03,14,6372,25
164,patient_03,14,6492,10000
165,patient_03,15,4200,10
166,patient_03,15,5756,25
167,patient_03,15,5756,10000
168,patient_03,16,2810,10
169,patient_03,16,5551,25
170,patient_03,16,5551,10000
171,patient_03,17,3617,10
172,patient_03,17,5766,25
173,patient_03,17,5766,10000
174,patient_03,18,2979,10
175,patient_03,18,5630,25
176,patient_03,18,5630,10000
177,patient_03,19,3537,10
178,patient_03,19,5708,25
179,patient_03,19,5708,10000
180,patient_04,0,2700,10
181,patient_04,0,2700,25
182,patient_04,0,2700,10000
183,patient_04,1,3295,10
184,patient_04,1,5377,25
185,patient_04,1,5377,10000
186,patient_04,2,2980,10
187,patient_04,2,6321,25
188,patient_04,2,10015,10000
189,patient_04,3,3191,10
190,patient_04,3,6366,25
191,patient_04,3,10209,10000
192,patient_04,4,3077,10
193,patient_04,4,6448,25
194,patient_04,4,10148,10000
195,patient_04,5,2998,10
196,patient_04,5,4545,25
197,patient_04,5,4545,10000
198,patient_04,6,3206,10
199,patient_04,6,4833,25
200,patient_04,6,4833,10000
201,patient_04,7,3797,10
202,patient_04,7,6999,25
203,patient_04,7,36778,10000
204,patient_04,8,3061,10
205,patient_04,8,4654,25
206,patient_04,8,4654,10000
207,patient_04,9,2868,10
208,patient_04,9,4427,25
209,patient_04,9,4427,10000
210,patient_04,10,2919,10
211,patient_04,10,6143,25
212,patient_04,10,11384,10000
213,patient_04,11,3537,10
214,patient_04,11,6659,25
215,patient_04,11,6739,10000
216,patient_04,12,3331,10
217,patient_04,12,4405,25
218,patient_04,12,4405,10000
219,patient_04,13,3084,10
220,patient_04,13,3104,25
221,patient_04,13,3104,10000
222,patient_04,14,3146,10
223,patient_04,14,6144,25
224,patient_04,14,11435,10000
225,patient_04,15,2876,10
226,patient_04,15,5739,25
227,patient_04,15,11105,10000
228,patient_04,16,3094,10
229,patient_04,16,6442,25
230,patient_04,16,11325,10000
231,patient_04,17,2953,10
232,patient_04,17,5948,25
233,patient_04,17,11212,10000
234,patient_04,18,3578,10
235,patient_04,18,6630,25
236,patient_04,18,11821,10000
237,patient_04,19,2150,10
238,patient_04,19,2150,25
239,patient_04,19,2150,10000
240,patient_05,0,2617,10
241,patient_05,0,3344,25
242,patient_05,0,3344,10000
243,patient_05,1,3310,10
244,patient_05,1,6399,25
245,patient_05,1,8034,10000
246,patient_05,2,3133,10
247,patient_05,2,6828,25
248,patient_05,2,12221,10000
249,patient_05,3,3237,10
250,patient_05,3,7080,25
251,patient_05,3,12299,10000
252,patient_05,4,3934,10
253,patient_05,4,7525,25
254,patient_05,4,18179,10000
255,patient_05,5,2912,10
256,patient_05,5,6626,25
257,patient_05,5,12321,10000
258,patient_05,6,3272,10
259,patient_05,6,6382,25
260,patient_05,6,8070,10000
261,patient_05,7,3374,10
262,patient_05,7,6446,25
263,patient_05,7,6588,10000
264,patient_05,8,3511,10
265,patient_05,8,6602,25
266,patient_05,8,6874,10000
267,patient_05,9,4889,10
268,patient_05,9,8258,25
269,patient_05,9,18831,10000
270,patient_05,10,3354,10
271,patient_05,10,6357,25
272,patient_05,10,6573,10000
273,patient_05,11,3395,10
274,patient_05,11,3853,25
275,patient_05,11,3853,10000
276,patient_05,12,2116,10
277,patient_05,12,2116,25
278,patient_05,12,2116,10000
279,patient_05,13,3545,10
280,patient_05,13,6519,25
281,patient_05,13,6748,10000
282,patient_05,14,3456,10
283,patient_05,14,6265,25
284,patient_05,14,6574,10000
285,patient_05,15,3290,10
286,patient_05,15,6659,25
287,patient_05,15,8138,10000
288,patient_05,16,2612,10
289,patient_05,16,3307,25
290,patient_05,16,3307,10000
291,patient_05,17,3595,10
292,patient_05,17,6362,25
293,patient_05,17,6706,10000
294,patient_05,18,3367,10
295,patient_05,18,3890,25
296,patient_05,18,3890,10000
297,patient_05,19,3942,10
298,patient_05,19,8216,25
299,patient_05,19,31606,10000
300,patient_06,0,3449,10
301,patient_06,0,6512,25
302,patient_06,0,8259,10000
303,patient_06,1,3407,10
304,patient_06,1,6936,25
305,patient_06,1,11843,10000
306,patient_06,2,3002,10
307,patient_06,2,7069,25
308,patient_06,2,11783,10000
309,patient_06,3,3390,10
310,patient_06,3,6833,25
311,patient_06,3,11817,10000
312,patient_06,4,3195,10
313,patient_06,4,4241,25
314,patient_06,4,4241,10000
315,patient_06,5,3489,10
316,patient_06,5,6588,25
317,patient_06,5,8280,10000
318,patient_06,6,5866,10
319,patient_06,6,6350,25
320,patient_06,6,6350,10000
321,patient_06,7,2876,10
322,patient_06,7,4164,25
323,patient_06,7,4164,10000
324,patient_06,8,4309,10
325,patient_06,8,5304,25
326,patient_06,8,5304,10000
327,patient_06,9,3441,10
328,patient_06,9,7118,25
329,patient_06,9,8229,10000
330,patient_06,10,3917,10
331,patient_06,10,7216,25
332,patient_06,10,11795,10000
333,patient_06,11,4185,10
334,patient_06,11,5283,25
335,patient_06,11,5283,10000
336,patient_06,12,3399,10
337,patient_06,12,6718,25
338,patient_06,12,8343,10000
339,patient_06,13,2527,10
340,patient_06,13,2527,25
341,patient_06,13,2527,10000
342,patient_06,14,3003,10
343,patient_06,14,6742,25
344,patient_06,14,11811,10000
345,patient_06,15,2831,10
346,patient_06,15,5247,25
347,patient_06,15,5247,10000
348,patient_06,16,3362,10
349,patient_06,16,7800,25
350,patient_06,16,20811,10000
351,patient_06,17,2880,10
352,patient_06,17,5286,25
353,patient_06,17,5286,10000
354,patient_06,18,3518,10
355,patient_06,18,4383,25
356,patient_06,18,4383,10000
357,patient_06,19,4002,10
358,patient_06,19,8586,25
359,patient_06,19,27184,10000
360,patient_07,0,3056,10
361,patient_07,0,6041,25
362,patient_07,0,7567,10000
363,patient_07,1,2757,10
364,patient_07,1,6733,25
365,patient_07,1,7384,10000
366,patient_07,2,2762,10
367,patient_07,2,5757,25
368,patient_07,2,7382,10000
369,patient_07,3,3172,10
370,patient_07,3,7508,25
371,patient_07,3,16607,10000
372,patient_07,4,3291,10
373,patient_07,4,8599,25
374,patient_07,4,16515,10000
375,patient_07,5,6049,10
376,patient_07,5,9277,25
377,patient_07,5,16496,10000
378,patient_07,6,5934,10
379,patient_07,6,10230,25
380,patient_07,6,16479,10000
381,patient_07,7,2937,10
382,patient_07,7,5829,25
383,patient_07,7,5829,10000
384,patient_07,8,2805,10
385,patient_07,8,5699,25
386,patient_07,8,6207,10000
387,patient_07,9,5436,10
388,patient_07,9,8769,25
389,patient_07,9,16638,10000
390,patient_07,10,3729,10
391,patient_07,10,6684,25
392,patient_07,10,7491,10000
393,patient_07,11,3861,10
394,patient_07,11,6857,25
395,patient_07,11,7484,10000
396,patient_07,12,2970,10
397,patient_07,12,5629,25
398,patient_07,12,6188,10000
399,patient_07,13,2070,10
400,patient_07,13,2070,25
401,patient_07,13,2070,10000
402,patient_07,14,2035,10
403,patient_07,14,2035,25
404,patient_07,14,2035,10000
405,patient_07,15,2607,10
406,patient_07,15,5480,25
407,patient_07,15,6090,10000
408,patient_07,16,2857,10
409,patient_07,16,5753,25
410,patient_07,16,6294,10000
411,patient_07,17,5977,10
412,patient_07,17,10458,25
413,patient_07,17,16407,10000
414,patient_07,18,3024,10
415,patient_07,18,5803,25
416,patient_07,18,5803,10000
417,patient_07,19,3692,10
418,patient_07,19,6842,25
419,patient_07,19,12427,10000
420,patient_08,0,3069,10
421,patient_08,0,6275,25
422,patient_08,0,6275,10000
423,patient_08,1,3183,10
424,patient_08,1,6298,25
425,patient_08,1,6298,10000
426,patient_08,2,2838,10
427,patient_08,2,6267,25
428,patient_08,2,6267,10000
429,patient_08,3,2909,10
430,patient_08,3,6277,25
431,patient_08,3,6277,10000
432,patient_08,4,2885,10
433,patient_08,4,6373,25
434,patient_08,4,23491,10000
435,patient_08,5,3075,10
436,patient_08,5,6588,25
437,patient_08,5,23454,10000
438,patient_08,6,3151,10
439,patient_08,6,6882,25
440,patient_08,6,23458,10000
441,patient_08,7,3128,10
442,patient_08,7,3956,25
443,patient_08,7,3956,10000
444,patient_08,8,3379,10
445,patient_08,8,7751,25
446,patient_08,8,23503,10000
447,patient_08,9,3744,10
448,patient_08,9,6596,25
449,patient_08,9,6596,10000
450,patient_08,10,3199,10
451,patient_08,10,4058,25
452,patient_08,10,4058,10000
453,patient_08,11,3158,10
454,patient_08,11,6929,25
455,patient_08,11,23499,10000
456,patient_08,12,3641,10
457,patient_08,12,6516,25
458,patient_08,12,6516,10000
459,patient_08,13,3872,10
460,patient_08,13,7710,25
461,patient_08,13,23462,10000
462,patient_08,14,3361,10
463,patient_08,14,6919,25
464,patient_08,14,23485,10000
465,patient_08,15,3642,10
466,patient_08,15,6538,25
467,patient_08,15,6538,10000
468,patient_08,16,3579,10
469,patient_08,16,7687,25
470,patient_08,16,23564,10000
471,patient_08,17,1926,10
472,patient_08,17,1926,25
473,patient_08,17,1926,10000
474,patient_08,18,3143,10
475,patient_08,18,6322,25
476,patient_08,18,6322,10000
477,patient_08,19,4235,10
478,patient_08,19,7980,25
479,patient_08,19,40404,10000
480,patient_09,0,2869,10
481,patient_09,0,6344,25
482,patient_09,0,14029,10000
483,patient_09,1,3501,10
484,patient_09,1,6636,25
485,patient_09,1,14306,10000
486,patient_09,2,2933,10
487,patient_09,2,6087,25
488,patient_09,2,14057,10000
489,patient_09,3,3136,10
490,patient_09,3,6636,25
491,patient_09,3,32743,10000
492,patient_09,4,2959,10
493,patient_09,4,3956,25
494,patient_09,4,3956,10000
495,patient_09,5,3005,10
496,patient_09,5,5762,25
497,patient_09,5,5762,10000
498,patient_09,6,3350,10
499,patient_09,6,9274,25
500,patient_09,6,9274,10000
501,patient_09,7,3308,10
502,patient_09,7,6335,25
503,patient_09,7,7935,10000
504,patient_09,8,3068,10
505,patient_09,8,6132,25
506,patient_09,8,13979,10000
507,patient_09,9,2938,10
508,patient_09,9,6062,25
509,patient_09,9,13987,10000
510,patient_09,10,6262,10
511,patient_09,10,9243,25
512,patient_09,10,9243,10000
513,patient_09,11,6172,10
514,patient_09,11,9219,25
515,patient_09,11,9219,10000
516,patient_09,12,3085,10
517,patient_09,12,6177,25
518,patient_09,12,14050,10000
519,patient_09,13,2847,10
520,patient_09,13,3851,25
521,patient_09,13,3851,10000
522,patient_09,14,2653,10
523,patient_09,14,2805,25
524,patient_09,14,2805,10000
525,patient_09,15,3295,10
526,patient_09,15,6318,25
527,patient_09,15,7961,10000
528,patient_09,16,3042,10
529,patient_09,16,3865,25
530,patient_09,16,3865,10000
531,patient_09,17,3379,10
532,patient_09,17,6720,25
533,patient_09,17,14333,10000
534,patient_09,18,3740,10
535,patient_09,18,9578,25
536,patient_09,18,9578,10000
537,patient_09,19,4047,10
538,patient_09,19,7427,25
539,patient_09,19,40727,10000
540,patient_10,0,3027,10
541,patient_10,0,6577,25
542,patient_10,0,10306,10000
543,patient_10,1,3530,10
544,patient_10,1,6707,25
545,patient_10,1,10368,10000
546,patient_10,2,3247,10
547,patient_10,2,6130,25
548,patient_10,2,10350,10000
549,patient_10,3,3462,10
550,patient_10,3,6357,25
551,patient_10,3,10307,10000
552,patient_10,4,3657,10
553,patient_10,4,6737,25
554,patient_10,4,10466,10000
555,patient_10,5,3337,10
556,patient_10,5,6357,25
557,patient_10,5,10398,10000
558,patient_10,6,3138,10
559,patient_10,6,6676,25
560,patient_10,6,10345,10000
561,patient_10,7,3133,10
562,patient_10,7,6757,25
563,patient_10,7,10401,10000
564,patient_10,8,3126,10
565,patient_10,8,6365,25
566,patient_10,8,10371,10000
567,patient_10,9,3616,10
568,patient_10,9,6572,25
569,patient_10,9,6572,10000
570,patient_10,10,3422,10
571,patient_10,10,6076,25
572,patient_10,10,7074,10000
573,patient_10,11,3824,10
574,patient_10,11,6579,25
575,patient_10,11,6579,10000
576,patient_10,12,3054,10
577,patient_10,12,3054,25
578,patient_10,12,3054,10000
579,patient_10,13,3419,10
580,patient_10,13,6219,25
581,patient_10,13,7151,10000
582,patient_10,14,4783,10
583,patient_10,14,8731,25
584,patient_10,14,20006,10000
585,patient_10,15,3979,10
586,patient_10,15,7225,25
587,patient_10,15,7802,10000
588,patient_10,16,4112,10
589,patient_10,16,7316,25
590,patient_10,16,7418,10000
591,patient_10,17,3480,10
592,patient_10,17,6139,25
593,patient_10,17,7070,10000
594,patient_10,18,4319,10
595,patient_10,18,7979,25
596,patient_10,18,13130,10000
597,patient_10,19,3966,10
598,patient_10,19,7684,25
599,patient_10,19,18983,10000
600,patient_11,0,3420,10
601,patient_11,0,9737,25
602,patient_11,0,10385,10000
603,patient_11,1,3310,10
604,patient_11,1,9908,25
605,patient_11,1,10350,10000
606,patient_11,2,3253,10
607,patient_11,2,8019,25
608,patient_11,2,13869,10000
609,patient_11,3,3313,10
610,patient_11,3,7855,25
611,patient_11,3,13955,10000
612,patient_11,4,3475,10
613,patient_11,4,6863,25
614,patient_11,4,18657,10000
615,patient_11,5,3557,10
616,patient_11,5,9780,25
617,patient_11,5,10428,10000
618,patient_11,6,3405,10
619,patient_11,6,9735,25
620,patient_11,6,10362,10000
621,patient_11,7,2946,10
622,patient_11,7,6468,25
623,patient_11,7,18537,10000
624,patient_11,8,3212,10
625,patient_11,8,9874,25
626,patient_11,8,10316,10000
627,patient_11,9,5253,10
628,patient_11,9,5421,25
629,patient_11,9,5421,10000
630,patient_11,10,6892,10
631,patient_11,10,9896,25
632,patient_11,10,10353,10000
633,patient_11,11,3159,10
634,patient_11,11,9723,25
635,patient_11,11,10325,10000
636,patient_11,12,2927,10
637,patient_11,12,7123,25
638,patient_11,12,13794,10000
639,patient_11,13,4475,10
640,patient_11,13,9651,25
641,patient_11,13,13853,10000
642,patient_11,14,2939,10
643,patient_11,14,9139,25
644,patient_11,14,13899,10000
645,patient_11,15,4668,10
646,patient_11,15,8178,25
647,patient_11,15,13819,10000
648,patient_11,16,3542,10
649,patient_11,16,9312,25
650,patient_11,16,13891,10000
651,patient_11,17,2910,10
652,patient_11,17,7523,25
653,patient_11,17,13797,10000
654,patient_11,18,5348,10
655,patient_11,18,8579,25
656,patient_11,18,24981,10000
657,patient_11,19,4211,10
658,patient_11,19,7862,25
659,patient_11,19,29082,10000
660,patient_12,0,8563,10
661,patient_12,0,11650,25
662,patient_12,0,11873,10000
663,patient_12,1,11149,10
664,patient_12,1,17175,25
665,patient_12,1,47055,10000
666,patient_12,2,13029,10
667,patient_12,2,16517,25
668,patient_12,2,47117,10000
669,patient_12,3,4706,10
670,patient_12,3,7537,25
671,patient_12,3,8341,10000
672,patient_12,4,8689,10
673,patient_12,4,11624,25
674,patient_12,4,12030,10000
675,patient_12,5,4602,10
676,patient_12,5,11528,25
677,patient_12,5,11966,10000
678,patient_12,6,4772,10
679,patient_12,6,11680,25
680,patient_12,6,11996,10000
681,patient_12,7,4639,10
682,patient_12,7,11573,25
683,patient_12,7,12011,10000
684,patient_12,8,4599,10
685,patient_12,8,11577,25
686,patient_12,8,11958,10000
687,patient_12,9,8457,10
688,patient_12,9,11601,25
689,patient_12,9,11977,10000
690,patient_12,10,5543,10
691,patient_12,10,5849,25
692,patient_12,10,5849,10000
693,patient_12,11,4680,10
694,patient_12,11,11668,25
695,patient_12,11,11997,10000
696,patient_12,12,4680,10
697,patient_12,12,11700,25
698,patient_12,12,11967,10000
699,patient_12,13,4840,10
700,patient_12,13,11799,25
701,patient_12,13,12066,10000
702,patient_12,14,4677,10
703,patient_12,14,11615,25
704,patient_12,14,11931,10000
705,patient_12,15,8433,10
706,patient_12,15,11487,25
707,patient_12,15,11928,10000
708,patient_12,16,3737,10
709,patient_12,16,8586,25
710,patient_12,16,8669,10000
711,patient_12,17,8412,10
712,patient_12,17,11705,25
713,patient_12,17,12021,10000
714,patient_12,18,5362,10
715,patient_12,18,8407,25
716,patient_12,18,8490,10000
717,patient_12,19,7550,10
718,patient_12,19,7971,25
719,patient_12,19,7971,10000
720,patient_13,0,4962,10
721,patient_13,0,8124,25
722,patient_13,0,8434,10000
723,patient_13,1,2978,10
724,patient_13,1,9502,25
725,patient_13,1,10261,10000
726,patient_13,2,7987,10
727,patient_13,2,11037,25
728,patient_13,2,12408,10000
729,patient_13,3,3635,10
730,patient_13,3,6911,25
731,patient_13,3,12376,10000
732,patient_13,4,3325,10
733,patient_13,4,8264,25
734,patient_13,4,8510,10000
735,patient_13,5,4518,10
736,patient_13,5,7036,25
737,patient_13,5,7036,10000
738,patient_13,6,3204,10
739,patient_13,6,8154,25
740,patient_13,6,8469,10000
741,patient_13,7,3557,10
742,patient_13,7,6806,25
743,patient_13,7,21711,10000
744,patient_13,8,3851,10
745,patient_13,8,6763,25
746,patient_13,8,12404,10000
747,patient_13,9,5076,10
748,patient_13,9,8073,25
749,patient_13,9,8427,10000
750,patient_13,10,3301,10
751,patient_13,10,7775,25
752,patient_13,10,8414,10000
753,patient_13,11,4622,10
754,patient_13,11,7989,25
755,patient_13,11,8374,10000
756,patient_13,12,2987,10
757,patient_13,12,6891,25
758,patient_13,12,6891,10000
759,patient_13,13,4148,10
760,patient_13,13,7457,25
761,patient_13,13,14756,10000
762,patient_13,14,3435,10
763,patient_13,14,3435,25
764,patient_13,14,3435,10000
765,patient_13,15,6490,10
766,patient_13,15,10410,25
767,patient_13,15,21806,10000
768,patient_13,16,3153,10
769,patient_13,16,9932,25
770,patient_13,16,21746,10000
771,patient_13,17,3121,10
772,patient_13,17,9575,25
773,patient_13,17,10318,10000
774,patient_13,18,8102,10
775,patient_13,18,12059,25
776,patient_13,18,18363,10000
777,patient_13,19,5289,10
778,patient_13,19,8478,25
779,patient_13,19,45298,10000
780,patient_14,0,2575,10
781,patient_14,0,2575,25
782,patient_14,0,2575,10000
783,patient_14,1,3286,10
784,patient_14,1,6520,25
785,patient_14,1,10134,10000
786,patient_14,2,3677,10
787,patient_14,2,8174,25
788,patient_14,2,10144,10000
789,patient_14,3,2673,10
790,patient_14,3,6618,25
791,patient_14,3,10051,10000
792,patient_14,4,5259,10
793,patient_14,4,8217,25
794,patient_14,4,10150,10000
795,patient_14,5,3316,10
796,patient_14,5,4963,25
797,patient_14,5,4963,10000
798,patient_14,6,3357,10
799,patient_14,6,7468,25
800,patient_14,6,7468,10000
801,patient_14,7,3459,10
802,patient_14,7,8375,25
803,patient_14,7,10103,10000
804,patient_14,8,2973,10
805,patient_14,8,6781,25
806,patient_14,8,13315,10000
807,patient_14,9,3342,10
808,patient_14,9,6594,25
809,patient_14,9,10110,10000
810,patient_14,10,10598,10
811,patient_14,10,14185,25
812,patient_14,10,30267,10000
813,patient_14,11,3492,10
814,patient_14,11,6863,25
815,patient_14,11,13319,10000
816,patient_14,12,3477,10
817,patient_14,12,6758,25
818,patient_14,12,13435,10000
819,patient_14,13,3627,10
820,patient_14,13,8333,25
821,patient_14,13,10132,10000
822,patient_14,14,3182,10
823,patient_14,14,8453,25
824,patient_14,14,13230,10000
825,patient_14,15,3493,10
826,patient_14,15,7482,25
827,patient_14,15,7482,10000
828,patient_14,16,5136,10
829,patient_14,16,8137,25
830,patient_14,16,10059,10000
831,patient_14,17,3441,10
832,patient_14,17,4921,25
833,patient_14,17,4921,10000
834,patient_14,18,3464,10
835,patient_14,18,7394,25
836,patient_14,18,7394,10000
837,patient_14,19,5948,10
838,patient_14,19,9622,25
839,patient_14,19,28595,10000
840,patient_15,0,2906,10
841,patient_15,0,6142,25
842,patient_15,0,8714,10000
843,patient_15,1,3079,10
844,patient_15,1,6114,25
845,patient_15,1,8729,10000
846,patient_15,2,2806,10
847,patient_15,2,5987,25
848,patient_15,2,8739,10000
849,patient_15,3,3085,10
850,patient_15,3,6101,25
851,patient_15,3,8814,10000
852,patient_15,4,2751,10
853,patient_15,4,6132,25
854,patient_15,4,8745,10000
855,patient_15,5,3027,10
856,patient_15,5,6182,25
857,patient_15,5,8736,10000
858,patient_15,6,3063,10
859,patient_15,6,6274,25
860,patient_15,6,8779,10000
861,patient_15,7,3012,10
862,patient_15,7,6129,25
863,patient_15,7,8758,10000
864,patient_15,8,6668,10
865,patient_15,8,8112,25
866,patient_15,8,8112,10000
867,patient_15,9,2971,10
868,patient_15,9,8063,25
869,patient_15,9,8063,10000
870,patient_15,10,2946,10
871,patient_15,10,7811,25
872,patient_15,10,10514,10000
873,patient_15,11,4593,10
874,patient_15,11,11503,25
875,patient_15,11,18085,10000
876,patient_15,12,3206,10
877,patient_15,12,8137,25
878,patient_15,12,8137,10000
879,patient_15,13,3018,10
880,patient_15,13,6216,25
881,patient_15,13,8781,10000
882,patient_15,14,3195,10
883,patient_15,14,8136,25
884,patient_15,14,8136,10000
885,patient_15,15,3231,10
886,patient_15,15,8165,25
887,patient_15,15,8165,10000
888,patient_15,16,4557,10
889,patient_15,16,7673,25
890,patient_15,16,10460,10000
891,patient_15,17,3042,10
892,patient_15,17,7223,25
893,patient_15,17,21816,10000
894,patient_15,18,3654,10
895,patient_15,18,13053,25
896,patient_15,18,14858,10000
897,patient_15,19,4025,10
898,patient_15,19,8574,25
899,patient_15,19,19334,10000
900,patient_16,0,2335,10
901,patient_16,0,2335,25
902,patient_16,0,2335,10000
903,patient_16,1,4358,10
904,patient_16,1,8071,25
905,patient_16,1,30960,10000
906,patient_16,2,2269,10
907,patient_16,2,2269,25
908,patient_16,2,2269,10000
909,patient_16,3,4295,10
910,patient_16,3,8218,25
911,patient_16,3,29385,10000
912,patient_16,4,3503,10
913,patient_16,4,7004,25
914,patient_16,4,29307,10000
915,patient_16,5,3241,10
916,patient_16,5,7061,25
917,patient_16,5,29338,10000
918,patient_16,6,4666,10
919,patient_16,6,9690,25
920,patient_16,6,29321,10000
921,patient_16,7,5186,10
922,patient_16,7,5519,25
923,patient_16,7,5519,10000
924,patient_16,8,2966,10
925,patient_16,8,6757,25
926,patient_16,8,6757,10000
927,patient_16,9,3079,10
928,patient_16,9,6790,25
929,patient_16,9,6790,10000
930,patient_16,10,3014,10
931,patient_16,10,6725,25
932,patient_16,10,6725,10000
933,patient_16,11,4290,10
934,patient_16,11,6715,25
935,patient_16,11,6715,10000
936,patient_16,12,6249,10
937,patient_16,12,9544,25
938,patient_16,12,29307,10000
939,patient_16,13,2991,10
940,patient_16,13,7265,25
941,patient_16,13,29345,10000
942,patient_16,14,4672,10
943,patient_16,14,10439,25
944,patient_16,14,29327,10000
945,patient_16,15,5249,10
946,patient_16,15,5541,25
947,patient_16,15,5541,10000
948,patient_16,16,3218,10
949,patient_16,16,7984,25
950,patient_16,16,29302,10000
951,patient_16,17,3753,10
952,patient_16,17,6930,25
953,patient_16,17,29384,10000
954,patient_16,18,6644,10
955,patient_16,18,9776,25
956,patient_16,18,40541,10000
957,patient_16,19,4718,10
958,patient_16,19,8479,25
959,patient_16,19,36300,10000
960,patient_17,0,3842,10
961,patient_17,0,4681,25
962,patient_17,0,4681,10000
963,patient_17,1,3917,10
964,patient_17,1,4680,25
965,patient_17,1,4680,10000
966,patient_17,2,4816,10
967,patient_17,2,6186,25
968,patient_17,2,6186,10000
969,patient_17,3,3983,10
970,patient_17,3,4778,25
971,patient_17,3,4778,10000
972,patient_17,4,4803,10
973,patient_17,4,6322,25
